title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
Evil Genius 2 World Domination   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,STRATEGY,U&I ENTMNT,PS5,30-Nov-21,0.1700 lbs,32
F.I.S.T. Fist Forged in Shadows Day One Edition   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone_10_Plus,ACT/AD,MAXIMUM,PS5,04-Oct-22,0.4450 lbs,43
F1 22   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,EA,PS5,01-Jul-22,0.1750 lbs,23
F1 23   PlayStation 5 PS5,89.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,16-Jun-23,14633382051,10
Fairy Fencer F Refrain Chord   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,IDEAFACT,PS5,25-Apr-23,0.1700 lbs,39
Fallen Legion Rise to Glory and Fallen Legion Revenants Deluxe Edition   PlayStation 5 PS5,69.99,,Everyone_10_Plus,ACTION,TECMO KOEI,PS5,23-Aug-22,0.2950 lbs,42
Far Cry 6   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Mature,FPS,UBISOFT,PS5,07-Oct-21,8.87256E+11,45
Farming Simulator 2022 Platinum Edition   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,GIANTS,PS5,15-Nov-22,0.1750 lbs,30
Farming Simulator 22   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,GIANTS,PS5,22-Nov-21,0.2600 lbs,49
Fate Samurai Remnant   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,TECMO KOEI,PS5,29-Sep-23,0.1750 lbs,4
FIFA 2022   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,01-Oct-21,14633742602,32
FIFA 21 Next Level Edition   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Teen,SPORTS,EA,PS5,04-Dec-20,14633380262,47
FIFA 23   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,EA,PS5,30-Sep-22,14633744521,36
Final Fantasy VII 7 Rebirth   PlayStation 5 PS5     29 2024,89.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,RPG,SQUAREENIX,PS5,29-Feb-24,,45
Final Fantasy VII 7 Rebirth Deluxe Edition   PlayStation 5 PS5,129.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Rating Pending,RPG,SQUAREENIX,PS5,29-Feb-24,,46
Final Fantasy VII 7 Remake Intergrade (EU Import)   PlayStation 5 PS5,89.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Teen,RPG,SQUAREEU,PS5,10-Jun-21,0.2000 lbs,25
Final Vendetta (Limited Run Games)   PlayStation 5 PS5,64.99,Final Vendetta is on a region-free physical disc for the PlayStation 5.,Teen,ACTION,LRGAMES,PS5,19-Apr-22,0.1700 lbs,19
Flashback 2 Limited Edition   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,ACTION,NORDIC,PS5,10-Jan-24,,3
Flintlock the Siege of Dawn   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,ACTION,MAXIMUM,PS5,31-Dec-24,,36
Formula Retro Racing World Tour Special Edition   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,PM STUDIOS,PS5,12-Dec-23,,24
Forspoken   PlayStation 5 PS5,89.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACTION,SQUAREENIX,PS5,24-Jan-23,6.62249E+11,38
Fortnite Anime Legends (Code in Box)   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,U&I ENTMNT,PS5,14-Oct-22,0.1650 lbs,47
Fortnite Minty Legends Pack   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,U&I ENTMNT,PS5,02-Nov-21,8.12303E+11,11
Fortnite Transformers Pack   PlayStation 5 PS5,34.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,U&I ENTMNT,PS5,13-Oct-23,0.1600 lbs,6
Frogun (Limited Run Games)   PlayStation 5 PS5,54.99,"Frogun is on a region-free physical disc for the PlayStation 5.
This release is not a part of the Limited Run Games Collection and is not a numbered release. Missing out on this release will not compromise a complete Limited Run set.",Everyone,PLATFORMER,LRGAMES,PS5,02-Aug-22,0.1700 lbs,19
Front Mission 1st Remake Limited Edition   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,MAXIMUM,PS5,16-Jan-24,,41
Gal Guardians Demon Purge   PlayStation 5 PS5,54.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,PQUBE,PS5,15-Jun-23,0.1750 lbs,22
Garden Simulator   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,MERGE,PS5,19-May-23,0.1750 lbs,44
Ghost of Tsushima Directors Cut   PlayStation 5 PS5,89.99,,Mature,ACTION,SONY,PS5,20-Aug-21,7.1172E+11,35
Ghost Song   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACT/AD,U&I ENTMNT,PS5,28-Jul-23,0.2100 lbs,43
Ghostrunner 2   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACTION,505 GAMES,PS5,26-Oct-23,0.1700 lbs,36
Ghostwire Tokyo   PlayStation 5 PS5,79.99,,Teen,HORROR,BETHESDA,PS5,25-Mar-22,93155175440,27
Gloomhaven Mercenaries Edition   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,STRATEGY,U&I ENTMNT,PS5,19-Sep-23,0.1800 lbs,23
Goat Simulator 3   PlayStation 5 PS5,19.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,SIMULATION,KOCH,PS5,17-Nov-22,0.1700 lbs,46
God of War Ragnarok (Post Launch Edition)   PlayStation 5 PS5,79.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Mature,ACTION,SONY,PS5,09-Nov-22,7.1172E+11,42
Godfall   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Teen,ACTION,GEARBOX,PS5,12-Nov-20,8.50012E+11,2
Godfall Deluxe Edition   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Teen,ACTION,GEARBOX,PS5,12-Nov-20,0.1850 lbs,47
Goodbye World   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,PUZZLE,PM STUDIOS,PS5,07-Jul-23,0.1900 lbs,20
Gord Deluxe Edition   PlayStation 5 PS5,54.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,STRATEGY,U&I ENTMNT,PS5,17-Aug-23,0.2900 lbs,31
Gotham Knights   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,WARNER,PS5,21-Oct-22,8.8393E+11,6
Gothic 1 Remake   PlayStation 5 PS5,59.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,NORDIC,PS5,31-Dec-24,0.1900 lbs,3
Gran Turismo 7 Post Launch Edition   PlayStation 5 PS5,79.99,"Gran Turismo 7 builds on 25 years of experience to bring you the best features from the history of the franchise. Whether you�re a competitive or casual racer, collector, tuner, livery designer, or photographer   find your line with a staggering collection of game modes including fan-favourites like GT Campaign, Arcade and Driving School.",Everyone,RACING,SONY,PS5,04-Mar-22,0.1750 lbs,7
Granblue Fantasy Relink Deluxe Edition   PlayStation 5 PS5,134.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,XSEED,PS5,01-Feb-24,,25
Granblue Fantasy Relink Special Edition   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,RPG,XSEED,PS5,01-Feb-24,,35
Grand Theft Auto GTA V 5   PlayStation 5 PS5,49.99,"Continue your journey on PS5 and transfer both GTA V Story Mode progress and GTA Online characters and progression to PS5 with a one-time migration. PlayStation 5 players can enjoy new high-performance vehicle upgrades and improvements like the Career Builder as well as all GTA Online gameplay upgrades, expansions, and access to all current and previous content updates, ready to enjoy solo or with friends. Pull off daring co-operative Heists, enter adrenaline-fueled Stunt Races, compete in unique Adversary Modes, or hang out in social spaces including nightclubs, arcades, penthouse parties, car meetups, and much more.",Mature,ACTION,TAKE 2,PS5,12-Apr-22,7.10426E+11,16
Gravity Circuit   PlayStation 5 PS5,54.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",None Selected,ACTION,REDART,PS5,29-Mar-24,,31
Greyhill Incident (EU Import)   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACT/AD,PERP,PS5,09-Jun-23,0.1950 lbs,45
Grid Legends   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,EA,PS5,25-Feb-22,14633381979,38
Grim Grimoire Once More Deluxe Edition   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,STRATEGY,TECMO KOEI,PS5,04-Apr-23,0.2150 lbs,33
Hades   PlayStation 5 PS5,49.99,,Teen,ACTION,TAKE 2,PS5,13-Aug-21,7.10426E+11,33
Hammerwatch II the Chronicles Edition   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,RPG,MAXIMUM,PS5,12-Dec-23,,31
Happy Fun Land Souvenir Edition VR   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,HORROR,U&I ENTMNT,PS5,26-Mar-24,,15
Harvest Moon the Winds of Anthos   PlayStation 5 PS5,69.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SIMULATION,NATSUME,PS5,26-Sep-23,0.1700 lbs,16
Haven (Limited Run Games)   PlayStation 5 PS5,64.99,Haven is on a region-free physical disc for the Playstation 5. Includes a full-color manual.,,,,,,,28
Haven Collectors Edition (Limited Run Games)   PlayStation 5 PS5,124.99,Haven is on a region-free physical disc for the PlayStation 5.,,,,,,,16
Helldivers 2   PlayStation 5 PS5,49.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,TPS,SONY,PS5,08-Feb-24,,15
Hello Neighbor 2   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone_10_Plus,HORROR,GEARBOX,PS5,06-Dec-22,0.1700 lbs,44
Hitman 3 Deluxe Edition (Limited Run Games)   PlayStation 5 PS5,104.99,HITMAN 3 Deluxe Edition is on a region-free physical disc for the Playstation 5.,,,,,,,22
Hitman World of Assassination   PlayStation 5 PS5,,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Mature,ACTION,IO INT,PS5,25-Aug-23,0.2150 lbs,47
Hoa   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Everyone,PLATFORMER,PM STUDIOS,PS5,14-Sep-21,0.1750 lbs,46
Hogwarts Legacy   PlayStation 5 PS5,,,Teen,OPENWORLD,WARNER,PS5,10-Feb-23,8.8393E+11,11
Horizon Forbidden West (Post Launch Edition)   PlayStation 5 PS5,64.99,"Join Aloy as she braves the Forbidden West   a majestic but dangerous frontier that conceals mysterious new threats. Explore distant lands, fight bigger and more awe-inspiring machines, and encounter astonishing new tribes as you return to the far-future, post-apocalyptic world of Horizon. The land is dying. Vicious storms and an unstoppable blight ravage the scattered remnants of humanity, while fearsome new machines prowl their borders. Life on Earth is hurtling towards another extinction, and no one knows why. It�s up to Aloy to uncover the secrets behind these threats and restore order and balance to the world.",Teen,ACTION,SONY,PS5,18-Feb-22,7.1172E+11,15
Horizon Forbidden West Complete Edition   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,SONY,PS5,06-Oct-23,0.2550 lbs,40
Horizon Forbidden West Special Edition   PlayStation 5 PS5,129.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ACTION,SONY,PS5,18-Feb-22,1.0450 lbs,25
Hot Wheels Unleashed   PlayStation 5 PS5,19.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Everyone,RACING,KOCH,PS5,30-Sep-21,0.1750 lbs,26
Hot Wheels Unleashed 2 Turbocharged   PlayStation 5 PS5,,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,KOCH,PS5,19-Oct-23,0.1700 lbs,46
Hyper Gunsport (Limited Run Games)   PlayStation 5 PS5,59.99,Hyper Gunsport is on a region-free physical disc for the PlayStation 5.,Everyone,ACTION,LRGAMES,PS5,23-Jun-23,0.1900 lbs,25
Ikai Launch Edition   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,HORROR,PM STUDIOS,PS5,15-Apr-22,0.1900 lbs,26
Immortals Fenyx Rising   PlayStation 5 PS5,39.99,,Teen,ACTION,UBISOFT,PS5,03-Dec-20,8.87256E+11,47
In Nightmare   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ADVENTURE,MAXIMUM,PS5,29-Mar-22,0.1700 lbs,45
In Sound Mind Deluxe Edition   PlayStation 5 PS5,19.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Teen,ADVENTURE,MAXIMUM,PS5,28-Sep-21,0.1750 lbs,12
Inertial Drift   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,RACING,PQUBE,PS5,29-Sep-22,0.1700 lbs,10
Infinity Strash Dragon Quest The Adventure of Dai (ASIM)   PlayStation 5 PS5,94.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Rating Pending,RPG,SQUAREJP,PS5,06-Oct-23,0.1900 lbs,24
Infliction Extended Cut (Limited Run Games)   PlayStation 5 PS5,54.99,"Infliction: Extended Cut is on a region-free physical disc for the PlayStation 5.
Genre:Adventure",Mature,HORROR,LRGAMES,PS5,23-Jul-21,0.1750 lbs,45
Instant Sports Plus   PlayStation 5 PS5,44.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Everyone,SPORTS,MERGE,PS5,13-May-22,0.1750 lbs,7
Jitsu Squad   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,FIGHTING,ININ,PS5,20-Dec-22,0.1850 lbs,39
Jojos Bizarre Adventure All-Star Battle R   PlayStation 5 PS5,79.99,,Teen,FIGHTING,NAMCOBANDA,PS5,02-Sep-22,0.1750 lbs,27
Jumanji the Video Game   PlayStation 5 PS5,29.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,ADVENTURE,NAMCOBANDA,PS5,22-Oct-21,0.1750 lbs,12
Jurassic World Evolution 2   PlayStation 5 PS5,79.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,SIMULATION,U&I ENTMNT,PS5,09-Nov-21,8.12303E+11,38
Just Dance 2021   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony Playstation 5 Game.
Note: Can be played on the Sony Playstation 5 Only.",Everyone,DANCE,UBISOFT,PS5,24-Nov-20,0.1700 lbs,43
Just Dance 2022   PlayStation 5 PS5,39.99,,Everyone_10_Plus,DANCE,UBISOFT,PS5,04-Nov-21,0.1700 lbs,13
Just Dance 2023 (Code in Box)   PlayStation 5 PS5,79.99,,Everyone,DANCE,UBISOFT,PS5,22-Nov-22,0.1600 lbs,6
Kao the Kangaroo (Limited Run Games)   PlayStation 5 PS5,54.99,Kao the Kangaroo is on a region-free physical disc for the PlayStation 5. This is an open pre-order for a limited time.,Everyone_10_Plus,ACTION,LRGAMES,PS5,24-May-22,0.1700 lbs,23
King of Fighters XV   PlayStation 5 PS5,39.99,"BRAND NEW and SEALED Sony PlayStation 5 Game.
Note: Can be played on the Sony PlayStation 5 Only.",Teen,FIGHTING,KOCH,PS5,17-Feb-22,0.1750 lbs,11
Ultra Age (Limited Run Games)   Switch,54.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Teen,ACTION,LRGAMES,NSW,21-Mar-23,0.1200 lbs,26
Ultra Street Fighter II 2 the Final Challengers (EU Import)   Switch,54.99,,Teen,FIGHTING,NINTENDO,NSW,26-May-17,0.1150 lbs,23
Umihara Kawase Bazooka   Switch,39.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch Only.",Everyone_10_Plus,PLATFORMER,ININ,NSW,20-Nov-20,0.1300 lbs,40
Umihara Kawase Bazooka!! Japanese Release (Multi-Language)   Switch,49.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch Only.",Everyone_10_Plus,ACTION,ININ,NSW,28-May-20,0.1250 lbs,16
Undead Darlings No Cure for Love (Limited Run Games)   Switch,59.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Teen,VISUAL,LRGAMES,NSW,11-Oct-22,0.1200 lbs,5
Under Night In-Birth Exe Late Clr   Switch,54.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch Only.",Teen,FIGHTING,AKSYS,NSW,20-Feb-20,8.53756E+11,24
Under Night In-Birth II [Sys:Celes]   Switch,69.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Teen,FIGHTING,TECMO KOEI,NSW,25-Jan-24,,29
Undermine (Limited Run Games)   Switch,54.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Everyone_10_Plus,RPG,LRGAMES,NSW,05-Aug-22,0.1300 lbs,27
Undernauts Labyrinth of Yomi   Switch,79.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Mature,RPG,AKSYS,NSW,28-Oct-21,0.1200 lbs,8
Undertale   Switch,44.99,,Everyone_10_Plus,RPG,U&I ENTMNT,NSW,18-Sep-18,0.1800 lbs,10
Unicorn Overlord   Switch,79.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Rating Pending,RPG,SEGA,NSW,08-Mar-24,,7
Unravel 2 (EU Import)   Switch,39.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch Only.",Everyone_10_Plus,ADVENTURE,EA,NSW,09-Jun-18,5.03094E+12,23
Unravel Two 2   Switch,25.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Everyone,PLATFORMER,EA,NSW,08-Apr-22,14633382686,20
Unsighted (Limited Run Games)   Switch,54.99,UNSIGHTED is on a region-free physical cart for the Nintendo Switch.,Teen,ACTION,LRGAMES,NSW,27-May-22,0.1500 lbs,22
Unsighted Collectors Edition (Limited Run Games)   Switch,94.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Teen,ACTION,LRGAMES,NSW,27-May-22,0.4200 lbs,43
Unsouled   Switch,44.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Teen,ACTION,REDART,NSW,08-Sep-23,0.1150 lbs,19
Valis II 2 (Limited Run Games)   Switch,69.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Teen,ACTION,LRGAMES,NSW,16-Sep-22,0.1300 lbs,25
Valis The Fantasm Soldier Collection (Limited Run Games)   Switch,59.99,Valis: The Fantasm Soldier Collection is on a region-free physical cart for the Nintendo Switch.,Teen,ACTION,LRGAMES,NSW,07-Jan-22,0.1350 lbs,11
Valis the Fantasm Soldier Collection Collectors Edition (LRG)   Switch,134.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Teen,ACTION,LRGAMES,NSW,07-Jan-22,0.8450 lbs,28
Valthirian Arc 2 Hero School Story 2   Switch,49.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Everyone_10_Plus,RPG,PQUBE,NSW,22-Jun-23,0.1250 lbs,20
Vampire the Masquerade Coteries and Shadows of New York   Switch,49.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Mature,RPG,FUNSTOCK,NSW,29-Sep-23,0.1200 lbs,27
Vampyr   Switch,64.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch Only.",Mature,ACTION,MAXIMUM,NSW,29-Oct-19,0.1200 lbs,32
Vegas Party   Switch,39.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Teen,PARTY,GAME S2,NSW,27-Sep-22,0.1200 lbs,23
Vernal Edge   Switch,49.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Teen,ACTION,REDART,NSW,12-Dec-23,,37
Virche Evermore Error Salvation   Switch,69.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Mature,VISUAL,AKSYS,NSW,09-Nov-23,0.1650 lbs,20
Virtuaverse (Limited Run Games)   Switch,54.99,Limit 1 per customer. Subsequent orders will be subject to cancellation.,Mature,ACTION,LRGAMES,NSW,29-Nov-22,0.1250 lbs,12
Void Trrlm2 Void Terrarium 2 Deluxe Edition   Switch,69.99,"BRAND NEW and SEALED Nintendo Switch Game.
Note: Can be played on the Nintendo Switch.",Teen,ACTION,TECMO KOEI,NSW,28-Feb-23,0.1400 lbs,44
